Id,SalePrice
1461,119198.49485564417
1462,156650.08921123546
1463,173484.57583647786
1464,193693.7228636885
1465,198733.12741909717
1466,169752.52976137956
1467,173742.21264087028
1468,162076.67984849517
1469,192956.76622742697
1470,115898.96107263361
1471,186835.36297651537
1472,100859.2558979223
1473,97572.5103917317
1474,149258.98881407827
1475,121671.17052237947
1476,362162.114244298
1477,259230.32123440257
1478,288321.5215247405
1479,282988.9433875172
1480,539336.303261399
1481,336332.1358032445
1482,217234.35081167545
1483,180773.58383520634
1484,168101.90434876332
1485,186647.9438633835
1486,194023.1936093418
1487,330028.2719632007
1488,241139.3154391206
1489,194196.61860395127
1490,225490.3691875922
1491,193556.007524444
1492,88463.75654230668
1493,183285.88907722695
1494,290701.62873376266
1495,278208.7645001793
1496,225584.43470970503
1497,175243.7049813273
1498,159753.74678474502
1499,162203.37473160215
1500,156890.61426720858
1501,183918.8157502182
1502,154822.13347956951
1503,255379.57576868328
1504,243280.297832659
1505,222223.64051753216
1506,201291.58345929
1507,254894.26655984795
1508,207020.08928646316
1509,157609.2380892545
1510,141560.61693271165
1511,146156.69306927864
1512,180221.4652757995
1513,142177.18898546108
1514,154057.26041823963
1515,203179.45332609338
1516,164153.6424173896
1517,171319.444660128
1518,141127.7963838847
1519,213021.19014248243
1520,130432.30624772115
1521,128597.70033803934
1522,182573.07347633678
1523,112272.78485253705
1524,122986.0749845691
1525,125015.91807962445
1526,113185.40474058328
1527,108661.64390066956
1528,140145.90799647645
1529,146826.22943905933
1530,175387.866393945
1531,114683.2693941913
1532,102835.71268014057
1533,159837.76547619357
1534,120724.41784572625
1535,145692.09104523557
1536,110643.20094390953
1537,59710.52704092524
1538,154001.2455943704
1539,199080.33587254395
1540,102829.92788229782
1541,130678.83973421864
1542,135090.74465000973
1543,186263.67662104202
1544,91006.39838127841
1545,122063.51245943327
1546,140320.98258563844
1547,139025.4030663838
1548,136496.08818626017
1549,120882.43668194783
1550,135241.71040276965
1551,106435.91940329548
1552,137705.23582293093
1553,148456.8136173537
1554,130536.66432635019
1555,161688.11983440144
1556,80726.48049100087
1557,99126.52526679423
1558,102422.8700207066
1559,78069.96491358227
1560,135960.52372287548
1561,128991.58683870395
1562,134867.025206277
1563,120922.78071707813
1564,157635.8091709948
1565,145802.50638833205
1566,228339.54840533884
1567,78429.52544696919
1568,236272.81914599732
1569,128121.56750723587
1570,146198.26496095755
1571,117385.44422200588
1572,141513.63046090366
1573,214113.75388990535
1574,125679.01647183084
1575,227034.99289563025
1576,252244.65231193719
1577,184307.49077324907
1578,144263.4387309404
1579,143833.79807450876
1580,190684.1039616372
1581,154853.93403790452
1582,125957.92448462715
1583,297311.643025767
1584,221681.25447026576
1585,137746.4284184251
1586,66839.38504910971
1587,104065.68127615468
1588,152897.1971521114
1589,95944.52030302981
1590,141319.91425069104
1591,97435.18234323176
1592,115255.67338882794
1593,126291.58305184379
1594,134485.46650939193
1595,107396.68981668218
1596,237279.05166191954
1597,195128.25130467667
1598,222247.77135853912
1599,167225.5838241636
1600,166969.42264958835
1601,64123.69064140491
1602,108043.25714480602
